file,kind,bucket,incoming_import_refs,imported_by_sample,reason
btts_no_live_allowlist.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
btts_over25 match goals.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
btts_over25_match_goals.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
btts_over25_pipeline.py,python,keep_or_review_imported,2,btts_over25_predict.py; BAWA-PORTO-recovery-2025-08-24-2308/btts_over25_predict.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
btts_over25_predict.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
BTTS_WALKFORWARD_SUMMARY.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_acca_extension_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_batch_join_quality_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_branch_comparison.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_branch_cumulative_stats.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_btts_deploy_policy.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_btts_from_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_btts_model_vs_valueev_comparison.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_btts_walkforward_league_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_btts_xgb_consensus_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_correct_score_backtest_summary.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_correct_score_deploy.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_cs_market_bucket_features.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_apples_to_apples_eval.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_btts_ou25_rescue_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_combo_rescue_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_consensus_elite_policy.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_league_calibration.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_league_weighting.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_meta_inject_into_tiers.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_meta_priority_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_meta_super_score_walkforward.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_meta_vs_consensus_summary.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_priority_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_validation_backtests_3y19l.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
build_ftr_xgb_consensus_elite_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_xgb_feature_pruning_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_xgb_hyperparam_sweep.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ftr_xgb_side_by_side_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_full_walkforward_backtest_summary.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_fullgrid_cs_market_bucket_features.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_fullgrid_cs_market_shape_features.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_hybrid_benchmark_scoreboard_v1.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_hybrid_benchmark_scoreboard_v2.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_hybrid_consensus_inputs.py,python,keep_or_review_imported,2,batch_run_hybrid_upstream_pipeline.py; batch_build_hybrid_consensus_inputs.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
build_hybrid_estate_scorecard.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_hybrid_goal_mass_inputs.py,python,keep_or_review_imported,1,batch_run_hybrid_upstream_pipeline.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
build_hybrid_parity_review.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_hybrid_threshold_policy.py,python,keep_or_review_imported,2,batch_run_hybrid_upstream_pipeline.py; batch_build_hybrid_threshold_policies.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
build_learned_gates.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_monster_release_gate_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_months.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
build_months_2022_2024.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
build_months_specialists.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
build_ou25_branch_comparison.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_cumulative_stats.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_investor_summary.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_rulebook_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_walkforward_comparison.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_walkforward_league_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_ou25_xgb_consensus_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_over25_from_ou25_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_over25_model_vs_filtered_ou25_comp.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_phase7c_cross_market_rescue_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_player_prop_beta_board.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_product_branch_comparison.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_product_branch_cumulative_stats.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_same_fixture_composite_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_same_fixture_composite_from_walkforward.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_slip_audit_dataset.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_snapshot_proxy_features_from_merge.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_snapshot_proxy_features_from_merged_v2_batch.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_stadium_registry.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_team_snapshot_matchup_features.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_team_snapshot_matchup_features_all.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_uefa_team_map.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_under25_btts_no_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_validated_league_manifest.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
build_weakest_failed_leg_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
check_ftr_v2_mapping_all.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
compare_goal_manifest_sets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
compare_rulebook_agg.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
config.yaml.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
conflict_zones.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
constants.py,python,keep_commit_candidate,31,train_draw_classifier.py; -recover_rebuilt_.py; bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; weekend_smoke_test.py; ftr_meta_backtest.py; debug_draw.py; _baseline_ftr_pipeline.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
correct_score_product.py,python,keep_commit_candidate,2,build_correct_score_backtest_summary.py; build_correct_score_deploy.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
cross_audit_shortlist.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
cs_signal_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
debug_draw.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
debug_home_away_swap.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
deploy_gates.py,python,keep_commit_candidate,3,deploy_rulebook.py; deploy_rulebook_research_no_ou25_hybrid_meta.py; deploy_rulebook_research_pre_hybrid_modelstore.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
deploy_gates_backup.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
deploy_presets.py,python,keep_commit_candidate,1,filter_deploy_by_rulebook.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
deploy_rulebook_backup.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
deploy_rulebook_research_no_ou25_hybrid_meta.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
deploy_rulebook_research_phase8h_c4_shadow.py,python,keep_or_review_imported,2,scripts/_archive_review/2026_05_23/run_ou25_c4_live_shadow_repeat_qa.py; scripts/_archive_review/2026_05_23/build_live_shadow_research_dashboard.py,Imported by 2 local Python file(s); do not archive until owner/purpose is confirmed.
deploy_rulebook_research_pre_hybrid_modelstore.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
deploy_top_slips.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
deploy_weekend_runner.sh,shell,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
eval_ftr_consensus.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
extract_predictions.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
fetch_api_league_catalog.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
fill_stadium_registry_coords.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
filter_deploy_by_rulebook.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
fit_draw_prone.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
fit_signal_bands.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
fix_names.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
forensic_ou25_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
forensic_sideproduct_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
forensic_walkforward_audit.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
ftr_accuracy_report.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
ftr_consensus.py,python,keep_or_review_imported,1,backtest_ftr_consensus.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
ftr_meta_backtest.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
FTR_MetaPredictor.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
ftr_variant_tests.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
game_context.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
ge2_defence_candidate_rule_table.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
ge2_defence_deploy_triage.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
goal_bias_holdout_eval.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
inject_btts_proxy_columns_from_merged.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
inject_ou25_proxy_columns_from_merged.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
injury_shock_engine.py,python,keep_commit_candidate,1,scripts/build_injury_shock_coverage_scan.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
league_competition_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
leak_probes.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
leak_tests.py,python,keep_or_review_imported,11,"train_draw_classifier.py; -recover_rebuilt_.py; _baseline_ftr_pipeline.py; BAWA-PORTO-recovery-2025-08-24-2308/train_draw_classifier.py; BAWA-PORTO-recovery-2025-08-24-2308/00_baseline_ftr_pipeline.py; tests/test_no_leak.py; MAIN BACKUP BACKUPS/_baseline_ftr_pipeline - august 24, 25 9pm.py; MAIN BACKUP BACKUPS/_baseline_ftr_pipeline.py",Imported by 11 local Python file(s); do not archive until owner/purpose is confirmed.
live_feature_signal_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
make_feb_sandbox_modelstore.sh,shell,archive_review_shell_runner,0,,Shell runner for research/backtest workflows; archive/review unless still in an active runbook.
make_league_odds_enriched_synth.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
manifest_and_calendar_flags.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
margin_sweep_ftr.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
market_cs_proxy_promotion_config.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
market_proxy_league_config.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
market_proxy_promotion_config.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
master_specialist_candidate_consolidator.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
merge_fd_odds_into_matches.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
merge_snapshot_proxy_into_fullgrid_cs_shape.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
merge_snapshot_proxy_into_merged_master.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
merged_pipeline_dashboard.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
meta_builder.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
meta_builder_v3.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
meta_to_allmarkets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
model train test.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
model_coverage_report.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
modelstore_goal_ensemble_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
modelstore_goal_ensemble_audit_shadow.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
mypy.ini,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
odds_synth.py,python,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
OG : BAWA WEEKEND RUNBOOK April_26.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
og_deploy_rulepack.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
og_goal_tracker.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
OG_HYBRID_AB_INSIGHTS.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
og_model_paths.py,python,keep_commit_candidate,5,bookie_allmarkets.py; bookie_allmarkets_research_no_recent_btts_regime.py; bookie_allmarkets_research_pre_hybrid_modelstore.py; pack_builder.py; backup_pre_rebuild_2026-03-16/bookie_allmarkets.py,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
og_public_match_cards.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
og_xray.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
ou25_league_policy.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
